id_venda,data_venda,produto,categoria,quantidade,preco_unitario,cliente,cidade,estado
1,2024-01-01,Tênis,Esporte,5,300.0,Júlia,Uberlândia,MG
2,2024-02-09,Camisa,Moda,5,50.0,Sophia,Londrina,PR
3,2024-01-01,Relógio,Acessórios,1,600.0,Samuel,Campinas,SP
4,2024-01-12,Meia,Moda,4,15.0,Eloah,Niterói,RJ
5,2024-03-24,Calça,Moda,4,120.0,Maria Cecília,Niterói,RJ
6,2024-01-26,Shorts,Esporte,5,80.0,Alana,Uberlândia,MG
7,2024-01-14,Meia,Moda,1,15.0,Luna,Pelotas,RS
8,2024-03-28,Tênis,Esporte,2,300.0,Alana,Santos,SP
9,2024-01-15,Tênis,Esporte,4,300.0,Nicolas,Londrina,PR
10,2024-01-16,Camisa,Moda,2,50.0,Cauê,Londrina,PR
11,2024-03-05,Camisa,Moda,2,50.0,Mariane,São Paulo,SP
12,2024-03-06,Jaqueta,Moda,2,250.0,Maysa,Pelotas,RS
13,2024-03-02,Meia,Moda,2,15.0,Fernanda,São Paulo,SP
14,2024-01-08,Relógio,Acessórios,4,600.0,Juan,Petrópolis,RJ
15,2024-04-07,Relógio,Acessórios,1,600.0,Sarah,Niterói,RJ
16,2024-03-11,Tênis,Esporte,1,300.0,Isabella,Pelotas,RS
17,2024-02-26,Tênis,Esporte,1,300.0,Emanuelly,Londrina,PR
18,2024-01-04,Calça,Moda,2,120.0,Miguel,Belo Horizonte,MG
19,2024-02-04,Camisa,Moda,2,50.0,Diogo,Campinas,SP
20,2024-03-16,Tênis,Esporte,1,300.0,Emanuella,Rio de Janeiro,RJ
21,2024-04-01,Boné,Acessórios,1,40.0,Sabrina,São Paulo,SP
22,2024-01-14,Tênis,Esporte,2,300.0,Maysa,Santos,SP
23,2024-02-01,Relógio,Acessórios,3,600.0,Vitor Gabriel,Londrina,PR
24,2024-04-07,Boné,Acessórios,3,40.0,Ana Lívia,Londrina,PR
25,2024-02-03,Boné,Acessórios,4,40.0,Maria Fernanda,Maringá,PR
26,2024-04-07,Meia,Moda,1,15.0,Emilly,Niterói,RJ
27,2024-04-10,Shorts,Esporte,3,80.0,Gustavo,Santos,SP
28,2024-03-01,Jaqueta,Moda,1,250.0,Mariana,Campinas,SP
29,2024-04-02,Meia,Moda,1,15.0,Luiz Fernando,Caxias do Sul,RS
30,2024-02-14,Boné,Acessórios,4,40.0,Leonardo,Pelotas,RS
31,2024-01-23,Camisa,Moda,1,50.0,Alice,Juiz de Fora,MG
32,2024-01-22,Meia,Moda,1,15.0,Maria Julia,Caxias do Sul,RS
33,2024-03-17,Camisa,Moda,5,50.0,Ana Julia,Pelotas,RS
34,2024-03-31,Calça,Moda,4,120.0,Juan,São Paulo,SP
35,2024-04-09,Shorts,Esporte,1,80.0,Ana Julia,Juiz de Fora,MG
36,2024-04-02,Boné,Acessórios,4,40.0,João Vitor,Uberlândia,MG
37,2024-02-18,Relógio,Acessórios,3,600.0,Luiz Henrique,Petrópolis,RJ
38,2024-02-28,Jaqueta,Moda,3,250.0,Daniel,Curitiba,PR
39,2024-02-05,Calça,Moda,5,120.0,Renan,Pelotas,RS
40,2024-02-14,Shorts,Esporte,1,80.0,Brenda,Maringá,PR
41,2024-01-01,Calça,Moda,3,120.0,Clara,Maringá,PR
42,2024-03-22,Calça,Moda,3,120.0,Kevin,Londrina,PR
43,2024-03-31,Relógio,Acessórios,2,600.0,Isabella,Porto Alegre,RS
44,2024-02-05,Camisa,Moda,2,50.0,Gustavo Henrique,Campinas,SP
45,2024-01-14,Tênis,Esporte,3,300.0,Brenda,Maringá,PR
46,2024-04-02,Calça,Moda,3,120.0,Caio,Maringá,PR
47,2024-03-09,Relógio,Acessórios,3,600.0,Enrico,Curitiba,PR
48,2024-03-15,Calça,Moda,3,120.0,Olivia,Juiz de Fora,MG
49,2024-02-25,Meia,Moda,4,15.0,Murilo,Pelotas,RS
50,2024-03-24,Shorts,Esporte,1,80.0,Gabrielly,Juiz de Fora,MG
51,2024-03-08,Boné,Acessórios,5,40.0,Bruna,Porto Alegre,RS
52,2024-01-18,Tênis,Esporte,4,300.0,João Pedro,Caxias do Sul,RS
53,2024-02-09,Jaqueta,Moda,1,250.0,Matheus,Santos,SP
54,2024-02-29,Jaqueta,Moda,1,250.0,Ana Luiza,Santos,SP
55,2024-02-17,Boné,Acessórios,4,40.0,Marcos Vinicius,Maringá,PR
56,2024-01-27,Relógio,Acessórios,5,600.0,Guilherme,Curitiba,PR
57,2024-03-08,Camisa,Moda,3,50.0,Luiz Felipe,Campinas,SP
58,2024-01-11,Tênis,Esporte,3,300.0,Sarah,Rio de Janeiro,RJ
59,2024-02-08,Relógio,Acessórios,4,600.0,Ana Julia,Niterói,RJ
60,2024-04-07,Relógio,Acessórios,3,600.0,Stella,Londrina,PR
61,2024-02-28,Tênis,Esporte,5,300.0,Heitor,Londrina,PR
62,2024-01-16,Boné,Acessórios,4,40.0,Kamilly,Uberlândia,MG
63,2024-03-08,Boné,Acessórios,5,40.0,Maria Julia,Niterói,RJ
64,2024-03-08,Meia,Moda,3,15.0,Theo,Rio de Janeiro,RJ
65,2024-01-01,Shorts,Esporte,4,80.0,Sophia,São Paulo,SP
66,2024-04-01,Boné,Acessórios,5,40.0,Ian,Curitiba,PR
67,2024-03-03,Tênis,Esporte,4,300.0,Maria,Juiz de Fora,MG
68,2024-02-01,Relógio,Acessórios,4,600.0,Gabriela,Campinas,SP
69,2024-02-11,Shorts,Esporte,1,80.0,Vitor Hugo,Maringá,PR
